label,text
0,"I guess I just want the points.\n\nIn the time it took you to type out your question, which was done rather neatly I might add, you could've already gotten an answer."
0,"It does seem suspicious, doesn't it...perhaps they don't want to prove the Bible to be correct?"
0,So they won't be alone if some rude guy tries to pinch their butt.
0,"Hyphey is its own branch of hip-hop/rap/whatever you want to call it, that has its roots in the San Francisco/Bay area.  It was a sort of backlash against all the gangster rap, and the negativity and violence that went along with that.  Hyphey is its own culture, with its own music, and its own terminology.  There are some odd seeming rituals, such as ""ghosting,"" where people all get out of a car, and let it idle slowly down the street, while they walk along side--it looks as no one is driving the car because no one is--or its being driven by a ghost.  The culture has a lot to do with partying, love, support of friendships, bonds, and seeking a high or euphoria not so much from alcohol or drug use (but that is still quite part of it,) but more from the experience itself.  It really is in many ways, sort of a very modern, rap-like resurrection of the hippy life-style, or at least those ideals.  There are some excellent articles on the internet if you are a reader.  Sorry I don't have the links saved, but they come up easily under searches."
0,"Hello friend,\nBashing religions are very common these days and while I think the question you posted is not actually a question and more like a comment on religion, I would like to talk about it.\n\nWe usually forget to make difference between the religion and the follower of that religion, for example if my sister can't drive and I hand her my brand new car and she crashes it, am I supposed to blame the car company for not making a crash proof car and call it a ""no good"" car?\n\nIf you want to know about religions then pickup the scriptures and read them and then decide what is wrong and what is not.\n\n2nd common thing I have noticed in religion bashers is that they say ""religion brought all the violence to the human kind"". I say, if the religions are really this bad then name few civilizations that existed in the past which were not violent and were successful.\nI on the other hand can provide you a great list of civilizations from the past that were religious AND were successful.\n\nAs a matter of fact, the most violent time for human on this earth started right after the Darwinism which pointed directly and indirectly about human races differences are actually part of evolution where whites with blond hair and blue eyes are most superior kind of human evolution. \nNo wonder Hitler had ranches where he was ""breeding"" the superior humans for his army.\n\nAnother common practice I have noticed from religion bashers is they either posses no (complete) knowledge and know about only one religion and based on that, they claim all religions are evil.\nJust because one or 2 religions are nonsense doesn't grants one authority of labeling all religions. Pickup the scriptures and spend some time with them. Ask questions, find answers, counter-question those answers.\nIf one can spend 28 years to become a doctor and must follow the text in order to become a good doctor then what is wrong with picking up a book for that may help you become a better human being?\n\nI personally am a Muslim and the reason behind it that I asked questions and found answers. I have studied Bible, Hindu, Buddhist, Sikh, Parsi and Islamic scripture and then picked what I believed to be helpful for me to become a better human being for myself, the people around me and the people in this world.\n\nI hope you will open up your heart and try to understand where I am coming from."
0,"No, of course not. I think it made us stronger as a nation. How could you live with yourself if your dark haired ladies werent free to go to the polls?"
0,"""According to astronomers, the Earth should last for at least five billion more years before the sun becomes a red giant. Due to the sun's loss of mass the Earth would escape to an orbit at a further distance than its current orbit. The immense heat however would likely boil off the oceans and turn the Earth into a barren wasteland looking like Mars does. If the Earth survived this event, the sun would further evolve into a white dwarf and provide too little heat to sustain life.""\n\nNormally I don't copy and paste but Wikipedia explained that a lot better than I could've. I guess the ""five billion years"" estimate is assuming that some other catastrophe doesn't happen in the meantime, like an asteroid impact or human-created disaster or anything like that. But if none of that happens, Earth will be here for a while yet."
0,"Au revoir et bonne chance. \nWait, what language do you want it in?"
0,"Agostine Monk and Abbot, Gregor Mendel, did more to advance the science of change and evolution with his plant studies.  He's considered the Father of Genetics.  He actually made ""intellgent design"" in plants possible.\n\nThen there's Father Georges-Henri Lemaître a Roman Catholic priest, honorary prelate, professor of physics and astronomer.  He gave us the Big Bang theory.\n\nIsn't it funny how the actually scientific theories are conjured up by Religious Priests."
0,"If you'd really like to know what goth is, go to goth.net and read the 'What is goth?' bit. Emo kids can have whatever length hair they want as far as I know. Also, Amy Lee is more Nu-Metal than anything else. If you'd like a list of postpunk or goth songs, I could e-mail you one."
0,"Yes, most Catholic deacons currently being ordained are married men who will never become priests.\n\nWith love in Christ."
0,"Hiya, try www.bbc.co.uk/languages and choose Italian. It's a course for absolute beginners. I think it's a really good website. Try it!!!"
0,It will happen when it happens and there's nothing anyone can do about it.
0,"I've visited Australia, and if I didn't have my daughters back home to finish raising, I wouldn't have come back!  The atmosphere is laid back, relaxed, yet you won't find a harder working people in the world!  The food no matter where we ate, was excellent in quality (hardly anything frozen-all fresh), the coffee to die for (each cup of ""flat white"" made just for you!), the people more friendly than I've found here in the states, and I'm from the south...and the most beautiful countryside...from the Blue Mountains, to the Golden Coast, to Cronulla Beach, to Batemans Bay, to Canberra...all gorgeous, all breathtaking!  I didn't see ANY slums, or bad neighborhoods, no graffiti, no trash anywhere on the streets, or in neighborhoods...NO homeless (understand I toured all over for 3 weeks)...it is one of the most beautiful countries in the world, and it holds a people who are proud of their country, of their roots, and many came from the convicts that were sent there from England.  A wonderful place for a vacation, and if retiring...the perfect place to do just that!"
0,"If you live in this country it should be mandatory to have a least a small grasp on the english language. Yea it pisses me off also but there isn't alot I can do.\nYo I called the IRS a couple of years ago and it was in Spainish! Not even an option for english that time, at least I don't think but who knows they were speaking spainish,lol.  I was livid!!\nUntil I move to another country I don't have to learn ANY other language."
